Time:,Ring:,Division:,Age:,Belts:,A-Z:,
9:00 a.m.,1,Kids Kata,(4-6),White,A-Z,
9:00 a.m.,2,Kids Kata,(4-6),Yellow, ,
9:00 a.m.,3,Kids Kata,(4-6),Yellow, ,
9:00 a.m.,4,Kids Kata,(4-6),Orange,,
9:00 a.m.,5,Kids Kata,(4-6),Orange, ,
9:00 a.m.,6,Kids Kata,(4-6),"Purple, Blue, Blue w/Stripe",A-Z,
9:00 a.m.,7,Kids Kata,(4-6),"Green, Green w/Stripe, Brown",A-Z,
9:00 a.m.,8,Youth Techniques,( 7-8 ),"White, Yellow, Orange", ,
9:00 a.m.,9,Youth Techniques,( 7-8 ),"White, Yellow, Orange", ,
9:00 a.m.,9,Youth Techniques,( 7-8 ),"Purple, Blue, Blue w/Stripe", ,
9:00 a.m.,10,Youth Techniques,( 7-8 ),"Purple, Blue, Blue w/Stripe", ,
9:00 a.m.,11,Youth Techniques,( 7-8 ),"Purple, Blue, Blue w/Stripe", ,
9:00 a.m.,11,Youth Techniques,( 7-8 ),"Green, Green w/Stripe, Brown",A-Z,
9:00 a.m.,12,Youth Techniques,( 7-8 ),Jr. Black,A-Z,
9:00 a.m.,13,Girl's Sparring,( 9-11 ),"White, Yellow, Orange",A-Z,
9:00 a.m.,14,Girl's Sparring,( 9-11 ),Purple ,A-Z,
9:00 a.m.,15,Girl's Sparring,( 9-11 ),"Blue, Blue w/Stripe",A-Z,
9:00 a.m.,16,Girl's Sparring,( 9-11 ),"Green, Green w/Stripe, Brown",A-Z,
9:00 a.m.,17,Girl's Sparring,( 9-11 ),Jr. Black,A-Z,
9:45 a.m.,1,Kids Sparring,(4-6),White,A-Z,
9:45 a.m.,2,Kids Sparring,(4-6),Yellow, ,
9:45 a.m.,12,Kids Sparring,(4-6),Yellow, ,
9:45 a.m.,4,Kids Sparring,(4-6),Orange, ,
9:45 a.m.,13,Kids Sparring,(4-6),Orange, ,
9:45 a.m.,6,Kids Sparring,(4-6),"Purple, Blue, Blue w/Stripe",A-Z,
9:45 a.m.,7,Kids Sparring,(4-6),"Green, Green w/Stripe, Brown",A-Z,
9:45 a.m.,8,Youth Boys Sparring,( 7-8 ),"White, Yellow",A-Z,
